Key,Shared Comments,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
"2001","","{Trigger}Deal {Value} damage to {Target}.","","{Trigger}{Target} {Value} 피해를 줍니다.",""
"2002","","{Trigger}Restore {Value} Health to {Target}.","","{Trigger}{Target} {Value} 회복합니다.",""
"2003","","{Trigger}Deal {Value} damage to {Target}.","","{Trigger}{Target}에 {Value} 피해를 줍니다.",""
"2004","","{Trigger}Deal {Value} damage to {Target}.","","{Trigger}{Target}에 {Value} 피해를 줍니다.",""
"2005","","{Trigger}Deal {Value} damage to {Target}.","","{Trigger}{Target}에 {Value} 피해를 줍니다.",""
"3001","","{Trigger}Give {Target} {Value} Attack.","","{Trigger}{Target} 공격력 {Value}를 부여합니다.",""
"3002","","{Trigger}Give {Target} {Value} Attack.","","{Trigger}{Target} 공격력 {Value}를 부여합니다.",""
"3003","","{Trigger}Give {Target} {Value} Health.","","{Trigger}{Target} 체력 {Value}를 부여합니다.",""
"3004","","{Trigger}Give {Target} {Value} Health.","","{Trigger}{Target} 체력 {Value}를 부여합니다.",""
"3005","","{Trigger}Give {Target} {ValueA}/{ValueB}.","","{Trigger}{Target} {ValueA}/{ValueB}를 부여합니다.",""
"4001","","{Trigger}Gain {Value} mana.","","{Trigger}마나를 {Value} 증가시킵니다.",""
"4002","","{Trigger}Restore {Value} Health to {Target}.","","{Trigger}{Target} {Value} 회복합니다.",""
"4003","","{Trigger}Draw {Value} card(s).","","{Trigger}카드 {Value}장을 드로우합니다.",""
"4004","","{Trigger}Restore {Value} Health to {Target}.","","{Trigger}{Target} {Value} 회복합니다.",""
"4005","","{Trigger}Deal {Value} damage to {Target}.","","{Trigger}{Target}에 {Value} 피해를 줍니다.",""
"5001","","{Trigger}Deal {Value} damage to {Target}.","","{Trigger}{Target}에 {Value} 피해를 줍니다.",""
"5002","","{Trigger}Gain {Value} extra action(s) this turn.","","{Trigger}이번 턴 추가 행동을 {Value}회 부여합니다.",""
"5003","","{Trigger}Give {Target} {Value} Attack.","","{Trigger}{Target} 공격력 {Value}를 부여합니다.",""
"5004","","{Trigger}Deal {Value} damage to {Target}.","","{Trigger}{Target}에 {Value} 피해를 줍니다.",""
"5005","","{Trigger}Give {Target} {ValueA}/{ValueB}.","","{Trigger}{Target} {ValueA}/{ValueB}를 부여합니다.",""
