Key,Shared Comments,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
"target_EnemyHero_to","","the enemy hero","","적 영웅에게",""
"target_EnemyHero_obj","","the enemy hero","","적 영웅을",""
"target_EnemyHero_noun1","","the enemy hero","","적 영웅",""
"target_AllyHero_to","","your hero","","아군 영웅에게",""
"target_AllyHero_obj","","your hero","","아군 영웅을",""
"target_AllyHero_noun1","","your hero","","아군 영웅",""
"target_EnemyCreature_to","","an enemy creature","","대상에게",""
"target_EnemyCreature_obj","","an enemy creature","","적 크리처 1체를",""
"target_EnemyCreature_noun1","","an enemy creature","","적 크리처 1체",""
"target_AnyCreature_to","","a creature","","대상에게",""
"target_AnyCreature_obj","","a creature","","대상 크리처 1체를",""
"target_AnyCreature_noun1","","a creature","","대상 크리처 1체",""
"target_AllyCreature_to","","an allied creature","","대상에게",""
"target_AllyCreature_obj","","an allied creature","","아군 크리처 1체를",""
"target_AllyCreature_noun1","","an allied creature","","아군 크리처 1체",""
"target_AllEnemies_to","","the target","","대상에게",""
"target_AllEnemies_obj","","the target","","대상을",""
"target_AllEnemies_noun1","","the target","","대상",""
"target_None_to","","the target","","대상에게",""
"target_None_obj","","the target","","대상을",""
"target_None_noun1","","the target","","대상",""
